year	Vastermalm	Vantor	Farsta	Bromma	Hagersten	Hasselby	Skarpnack	St_Johannes	St_Matteus	Adolf_Fredrik	Brannkyrka	Skarholmen	Engelbrekt	Sofia	Hogalid	Hedvig_Eleonora	Katarina	Vasterled	Vallingby	Spanga_Kista	Oscar	Maria_Magdalena	Enskede_Arsta	Gustav_Vasa	Domkyrkoforsamlingen	Solna_kommun	Danderyds_kommun	Botkyrka_kommun	Huddinge_kommun	Sundbyberg_kommun	Jarfalla_kommun	Nacka_kommun
1950	92991	11454	32225	40982	68510	3075	32072	18460	45294	14422	20294	79	27951	24815	41112	20085	52133	31436	0	12798	45547	20830	47955	20229	18745	37311	20285	8939	21086	24488	7269	25614
1951	91442	12953	35752	42385	67680	3173	33624	18023	44277	14088	27499	78	27605	24731	40470	19583	51225	31587	52	12674	46037	20444	47810	19886	18162	38682	20810	9183	21658	25038	7776	26720
1952	89522	16280	37864	48732	66639	3078	35781	17804	43245	13776	30225	75	26949	24077	40202	19208	49925	31578	1346	12597	45729	20240	48874	19443	17540	39685	21175	9338	22076	25384	8369	27578
1953	88004	19678	38752	48213	65907	3070	40026	17422	42326	13395	31265	72	26509	23754	39568	18852	49153	32217	9136	10948	45583	19910	48784	19033	16427	40842	21661	9388	22405	25584	8837	28162
1954	85886	25726	39006	48145	64485	3697	45466	16894	41485	12843	32460	79	26065	23056	38545	18347	47522	31706	14229	10851	44774	19678	48346	18508	15426	43172	22106	9630	22800	25787	10405	28533
1955	83887	32019	39511	47456	63584	10320	47238	16525	40657	12474	33516	65	25528	22625	37769	17961	46542	30931	19566	10889	44122	19276	47648	18021	14615	44303	22340	9960	23631	26082	11745	29221
1956	82395	34095	39910	47115	63404	17157	48005	16288	40118	12259	38790	60	24912	22131	37461	17630	45809	30587	21365	11134	43525	18937	46516	17721	13870	45257	22674	10431	24891	26321	13026	30048
1957	80599	38559	42160	46442	62320	23295	48154	15922	39229	11866	41892	54	24578	21599	36703	17023	44938	30150	22636	10944	42604	18471	45668	17249	13384	46777	23112	11078	26051	26676	13998	31062
1958	78850	45754	45901	45529	60621	27043	47544	15391	38358	11602	43646	43	24008	21240	35789	16555	44058	29624	24170	10890	41729	18075	44793	16738	13002	48170	23598	11794	26782	26933	14787	31508
1959	76679	55124	50767	44925	59339	27530	46720	14625	37317	11116	45376	45	23235	20810	34748	16065	42925	28996	25783	10755	41171	17681	43903	16302	12345	49264	24434	12723	27564	27056	16683	32418
1960	74711	60551	56307	44513	59570	28612	46260	14129	36228	10723	45608	52	22583	20112	33667	15690	41788	28418	26272	10767	40111	17190	44058	15875	11586	50969	24020	13688	29466	27068	19187	32738
1961	72662	61423	59939	43909	60608	28840	45740	13902	35461	10451	45187	46	22079	19561	32608	15232	41273	28093	26641	11471	39497	16862	46298	15533	11058	52312	24947	14807	33127	27058	22178	34385
1962	71446	61882	63275	43326	60676	28896	45365	13827	34970	10170	45162	67	21645	19212	31612	14587	40238	28206	26726	11920	39094	16660	46156	15091	10492	53658	25329	15816	35800	27195	26638	35347
1963	70213	62224	64426	42643	59818	28887	45112	13587	34338	9913	45075	352	21107	18807	31090	14008	39227	27835	26665	12291	40326	16273	45986	14632	10145	54281	26274	16806	37731	27393	30745	36338
1964	68149	62032	66868	41803	58641	28869	44317	13201	33493	9572	44684	2830	20646	18369	31479	13630	38502	27711	26532	12503	40044	16074	45318	14209	10116	54715	27331	17829	41150	27802	34534	37227
1965	65838	61342	66343	40771	56553	28499	43138	12894	32431	9243	43751	13273	20227	17991	31169	13253	37244	27481	26031	12968	39272	15422	44128	13857	9717	55269	28002	18807	44176	28293	38142	38135
1966	64431	60424	65884	39808	55397	28231	41868	12492	31557	8810	42998	19913	19452	18060	31961	12931	36081	26905	25780	13564	38393	15142	43047	13544	9471	57436	28093	19189	47084	28707	40335	39729
1967	62212	59827	65425	38880	55041	27781	40786	12201	30898	8545	43065	24656	18957	18133	32251	12558	35040	26436	25789	13837	37435	14758	41869	13259	9071	57645	28199	19919	50075	28661	42202	40756
1968	59397	57588	63590	37680	54101	26959	38556	11506	29515	8151	43523	32576	18698	17752	31386	12010	33799	25830	26180	16522	36076	14027	39784	12626	8485	56588	28067	21813	51930	28281	44114	42234
1969	56971	55745	62286	36465	52780	26363	37182	11119	28426	7879	44347	36894	18621	17270	30456	11639	33162	25161	25682	23327	35250	13433	38425	12236	8110	56545	28055	23878	53939	27572	46490	44785
1970	55022	53825	60985	35352	51023	25665	36051	10593	27754	7477	44568	37373	18469	16789	29674	11069	32741	24482	25210	34350	34346	12713	37121	11706	7622	55556	27623	26673	54732	28085	49261	48035
1971	52687	51862	58599	33871	48633	24980	35755	9873	26812	7197	43433	36483	18014	16151	28350	10568	31519	23892	25274	42646	33137	12003	35534	11317	7165	55569	27276	33758	54924	27832	50958	50125
1972	50363	49559	55855	32621	45865	24587	35649	9340	25655	6845	41696	35295	17275	15160	27382	9993	29933	23182	25542	43361	32173	11153	34032	10661	6735	55037	27763	43247	56421	28879	52018	51913
1973	48538	47449	53417	31329	43618	25738	34503	8907	24235	6409	40231	34517	16902	14533	26720	9731	28675	22557	26527	41833	32216	10443	32552	10226	6422	55966	27646	50531	59576	28599	52352	52679
1974	47467	45460	51592	30271	42382	27173	33160	8926	23505	6286	39073	34248	16806	14379	26301	9696	28252	22172	27064	43782	32077	10402	31605	10046	6389	54941	27360	54447	61528	27972	52014	54107
1975	46261	43928	50113	29385	41004	28200	31948	8894	22645	6220	38027	33622	16712	14256	26006	9502	27803	21868	27025	50372	31541	10460	30754	9939	6477	53878	27168	57286	62576	26995	51549	55321
1976	45562	42543	49031	28788	40159	29050	31199	8620	22610	6073	37251	33014	16360	14000	25460	9429	26556	21588	26726	56662	30907	10466	29989	9831	6377	52841	27113	58457	64065	26480	51696	55782
1977	45149	41735	48093	28297	39810	29392	30595	8463	22487	5997	36681	32736	16369	13814	25164	9449	26201	21563	26631	60575	30638	10548	29480	9705	6077	52365	27455	60500	64784	26041	52227	55681
1978	44788	40965	47093	27765	39436	29141	30167	8320	21870	5887	35986	32209	16280	13575	24895	9404	26277	21531	26675	63483	30408	10373	28998	9828	6013	51518	27522	62272	65299	25899	52307	55927
1979	44325	40274	46022	27520	39045	28734	29567	8275	21546	5800	35468	31773	15904	13321	24631	9321	26072	21383	26386	66998	30426	10349	29711	9945	3545	51324	27722	64373	66038	25676	52442	56825
1980	44494	39555	45214	27368	38532	28722	29081	8052	21603	5769	35204	31165	15700	13233	24647	9336	25762	21326	26021	68462	30481	10260	30524	10183	3462	50441	27842	65218	66570	25717	53321	57229
1981	44480	38895	44595	27066	38845	28525	28819	8339	22069	5624	34653	30868	15774	13241	24815	9496	26270	21303	25851	68681	30390	10326	31199	10709	3431	49893	27762	65456	67852	25577	54200	58119
1982	44274	38527	43878	27015	39829	28479	28628	9032	22399	5723	34492	30638	15865	13850	25262	9531	27087	21289	25567	68661	30311	10534	31813	10794	3400	49606	28088	66062	68517	26052	54823	58399
1983	44118	38870	43462	26986	40334	28339	28672	9116	22364	5949	34195	30262	15896	14441	26042	9417	27286	21429	25349	68391	30385	10775	31743	11072	3395	49080	28272	65427	69175	26985	55419	58537
1984	44126	38788	43067	26972	40247	28822	29518	9108	22558	5950	34364	29833	15934	14865	26168	9346	27740	21574	25335	68581	30499	11567	31711	10976	3415	48828	28484	65927	69581	27444	55776	59009
1985	44899	38611	42822	26937	40575	29205	31673	9224	22720	6060	35431	29686	15975	14886	25887	9518	28234	21985	25164	68995	30502	11812	31531	11046	3396	49648	28706	66326	70209	28516	56020	59688
1986	44866	38555	42425	26943	41038	29378	33659	9342	22817	6009	35665	29439	15906	14982	25985	9496	28141	22960	25330	69164	30373	12034	31372	11126	3437	50108	28645	66957	71568	29692	56405	60315
1987	44711	38402	42246	26897	40854	29995	34776	9298	23251	6223	35679	29284	16003	15078	26457	9599	28225	23368	25174	69833	30306	12667	31367	11316	3420	50450	28792	67536	71910	30569	56563	61084
1988	45193	38118	42150	26948	41554	30865	35334	9542	23175	6245	35343	29178	15878	14817	27423	9550	28106	23581	24926	70034	30053	13155	31176	11588	3360	50964	28525	68167	71921	31095	56402	61931
1989	45450	38022	41914	27337	42113	31145	35816	9589	23187	6236	35463	29075	15998	14797	27967	9459	28101	23533	24883	70253	29871	14037	31149	11391	3354	51427	28218	68255	73107	31426	56386	63114
